asset_id,asset_type,install_year,age_years,age_ratio,zone,voltage_kv,customers_affected_if_fail,last_inspection_year,inspection_score,fault_count_5yr,is_critical_node,replacement_cost_nzd
CE-0025,OH_Line,1997,29,0.725,Clarks_Beach,11,1906,2023,5,0,False,149004
CE-0026,OH_Line,2004,22,0.55,Clarks_Beach,22,99,2020,10,0,False,220373
CE-0027,OH_Line,2006,20,0.5,Pokeno,11,1546,2020,1,3,False,332522
CE-0028,OH_Line,2008,18,0.45,Pokeno,11,1874,2025,8,0,True,124280
CE-0029,OH_Line,2020,6,0.15,Pukekohe,11,1202,2023,9,0,False,437908
CE-0030,OH_Line,1996,30,0.75,Pokeno,11,296,2025,10,1,False,11898
CE-0031,OH_Line,2005,21,0.525,Pokeno,11,1017,2025,1,0,False,348659
CE-0032,OH_Line,1997,29,0.725,Clarks_Beach,11,1480,2024,9,0,True,69873
CE-0033,OH_Line,2009,17,0.425,Waiuku,22,1329,2020,1,1,False,478033
CE-0034,OH_Line,1998,28,0.7,Pukekohe,22,220,2023,5,1,False,74468
CE-0035,OH_Line,2023,3,0.075,Tuakau,22,227,2020,2,4,False,415567
CE-0036,OH_Line,1985,41,1.025,Tuakau,11,754,2025,4,3,False,215811
CE-0037,OH_Line,1989,37,0.925,Tuakau,22,1494,2024,3,1,True,409201
CE-0038,OH_Line,1994,32,0.8,Tuakau,11,1651,2020,5,0,True,158615
CE-0039,OH_Line,2011,15,0.375,Pukekohe,22,315,2021,6,0,True,62167
CE-0040,OH_Line,2002,24,0.6,Pukekohe,11,1186,2022,2,0,False,341953
CE-0041,OH_Line,2008,18,0.45,Tuakau,22,1703,2022,10,0,False,26520
CE-0042,OH_Line,2023,3,0.075,Waiuku,11,108,2018,3,1,False,189938
CE-0043,OH_Line,1994,32,0.8,Clarks_Beach,11,1850,2023,1,0,False,54061
CE-0044,OH_Line,2009,17,0.425,Clarks_Beach,22,1076,2020,3,4,False,259540
CE-0045,OH_Line,1985,41,1.025,Waiuku,11,288,2021,8,1,False,241549
CE-0046,OH_Line,2020,6,0.15,Waiuku,11,765,2019,4,1,False,344442
CE-0047,OH_Line,2016,10,0.25,Clarks_Beach,22,663,2021,7,0,False,270040
CE-0048,OH_Line,2008,18,0.45,Clarks_Beach,11,1472,2018,3,2,False,105190
CE-0049,OH_Line,2003,23,0.575,Pokeno,22,1454,2022,10,0,False,46824
CE-0050,OH_Line,2004,22,0.55,Clarks_Beach,11,1191,2021,10,0,False,392398
CE-0051,OH_Line,1995,31,0.775,Waiuku,22,1236,2019,1,1,False,89789
CE-0052,OH_Line,2010,16,0.4,Tuakau,22,1600,2022,5,1,False,248615
CE-0053,OH_Line,1999,27,0.675,Pukekohe,22,184,2021,9,0,False,330642
CE-0054,OH_Line,1999,27,0.675,Pokeno,22,548,2024,3,2,False,185275
CE-0055,OH_Line,2003,23,0.575,Pukekohe,22,772,2019,10,1,False,366194
CE-0056,OH_Line,1997,29,0.725,Pokeno,22,1973,2018,4,1,False,360291
CE-0057,OH_Line,2009,17,0.425,Clarks_Beach,11,1180,2018,3,1,True,344617
CE-0058,OH_Line,2016,10,0.25,Clarks_Beach,22,922,2020,8,0,False,223945
CE-0059,OH_Line,2009,17,0.425,Pokeno,11,1994,2018,8,0,False,440204
CE-0060,OH_Line,2009,17,0.425,Pukekohe,22,1795,2024,1,3,False,19354
CE-0061,OH_Line,2003,23,0.575,Pokeno,11,1822,2020,9,0,True,329853
CE-0062,OH_Line,2003,23,0.575,Pukekohe,11,1700,2019,2,2,False,33329
CE-0063,OH_Line,2002,24,0.6,Pokeno,11,411,2018,2,2,False,66837
CE-0064,OH_Line,2017,9,0.225,Pokeno,22,1471,2018,6,1,False,100555
CE-0065,OH_Line,2012,14,0.35,Clarks_Beach,11,1236,2018,6,1,False,25963
CE-0066,OH_Line,1988,38,0.95,Pukekohe,22,375,2021,5,0,False,490113
CE-0067,OH_Line,2008,18,0.45,Pokeno,11,1892,2022,3,1,False,154164
CE-0068,OH_Line,2014,12,0.3,Pokeno,11,1021,2023,3,1,False,204997
CE-0069,OH_Line,2023,3,0.075,Pukekohe,11,616,2022,10,0,False,216812
CE-0070,OH_Line,2004,22,0.55,Tuakau,22,443,2025,10,0,False,296211
CE-0071,OH_Line,2000,26,0.65,Tuakau,11,1149,2020,3,1,False,285057
CE-0072,OH_Line,2002,24,0.6,Pokeno,11,1576,2020,6,0,False,276826
CE-0073,OH_Line,2005,21,0.525,Waiuku,22,1773,2019,6,1,False,460923
CE-0074,OH_Line,2003,23,0.575,Pokeno,11,993,2018,3,1,True,62349
CE-0075,OH_Line,2014,12,0.3,Pukekohe,22,674,2021,9,0,False,90632
CE-0076,OH_Line,1988,38,0.95,Pukekohe,11,750,2023,10,1,False,81038
CE-0077,OH_Line,1991,35,0.875,Waiuku,22,1378,2019,6,3,False,354176
CE-0078,OH_Line,2005,21,0.525,Pukekohe,22,1054,2021,4,0,False,86056
CE-0079,OH_Line,2013,13,0.325,Clarks_Beach,11,1679,2024,10,0,True,495209
CE-0080,OH_Line,2017,9,0.225,Waiuku,22,1513,2018,9,0,False,219720
CE-0081,OH_Line,2001,25,0.625,Pukekohe,22,473,2019,4,1,False,149569
CE-0082,OH_Line,2015,11,0.275,Tuakau,11,494,2024,8,0,False,422576
CE-0083,OH_Line,2003,23,0.575,Pokeno,22,739,2023,5,1,False,272066
CE-0084,OH_Line,2008,18,0.45,Tuakau,11,1820,2020,4,2,False,295626
CE-0085,OH_Line,1993,33,0.825,Tuakau,11,803,2025,6,1,False,459082
CE-0086,OH_Line,1998,28,0.7,Waiuku,11,59,2022,1,0,False,464092
CE-0087,OH_Line,2006,20,0.5,Tuakau,11,563,2019,2,0,False,353001
CE-0088,OH_Line,1991,35,0.875,Pokeno,22,1525,2023,9,0,False,452147
CE-0089,OH_Line,1994,32,0.8,Pokeno,22,1467,2024,7,1,False,222843
CE-0090,OH_Line,2007,19,0.475,Clarks_Beach,22,1470,2025,5,1,False,376241
CE-0091,OH_Line,1990,36,0.9,Pukekohe,11,1956,2019,3,3,False,208730
CE-0092,OH_Line,2016,10,0.25,Tuakau,11,751,2025,3,3,True,29105
CE-0093,OH_Line,2007,19,0.475,Pokeno,11,1603,2021,8,2,False,29237
CE-0094,OH_Line,2018,8,0.2,Clarks_Beach,22,1034,2020,3,0,True,340257
CE-0095,OH_Line,2000,26,0.65,Clarks_Beach,11,1707,2022,7,1,False,177275
CE-0096,OH_Line,2001,25,0.625,Tuakau,11,556,2022,8,0,False,443845
CE-0097,OH_Line,2010,16,0.4,Waiuku,22,821,2022,7,3,False,72726
CE-0098,OH_Line,1989,37,0.925,Waiuku,11,737,2018,1,2,False,38247
CE-0099,OH_Line,2007,19,0.475,Tuakau,11,846,2025,4,1,False,479808
CE-0100,OH_Line,1996,30,0.75,Waiuku,22,657,2025,10,1,False,454987
CE-0101,OH_Line,1985,41,1.025,Tuakau,22,490,2020,3,1,False,164633
CE-0102,OH_Line,2023,3,0.075,Tuakau,22,1989,2022,1,3,False,338925
CE-0103,OH_Line,2000,26,0.65,Pokeno,11,1128,2020,3,0,False,55437
CE-0104,OH_Line,2001,25,0.625,Tuakau,11,81,2025,8,0,True,480088
CE-0105,OH_Line,1997,29,0.725,Waiuku,22,915,2020,1,0,False,260463
CE-0106,OH_Line,2002,24,0.6,Pukekohe,22,130,2025,9,0,False,350603
CE-0107,OH_Line,2010,16,0.4,Waiuku,11,233,2021,5,1,True,432068
CE-0108,OH_Line,2003,23,0.575,Tuakau,22,1563,2021,3,1,False,421395
CE-0109,OH_Line,2015,11,0.275,Waiuku,22,1369,2020,6,0,False,117985
CE-0110,OH_Line,2011,15,0.375,Pukekohe,11,309,2022,5,1,True,28450
CE-0111,OH_Line,2007,19,0.475,Pukekohe,22,72,2019,1,0,False,59761
CE-0112,OH_Line,2014,12,0.3,Tuakau,11,1708,2022,1,2,False,311463
CE-0113,OH_Line,2001,25,0.625,Clarks_Beach,11,1838,2022,10,0,False,229956
CE-0114,OH_Line,2021,5,0.125,Waiuku,11,1205,2020,1,2,False,112096
CE-0115,OH_Line,2011,15,0.375,Pukekohe,22,699,2021,9,0,False,14421
CE-0116,OH_Line,1993,33,0.825,Pokeno,11,1781,2019,9,1,True,298946
CE-0117,OH_Line,2006,20,0.5,Pokeno,22,1019,2018,7,0,True,495928
CE-0118,OH_Line,2004,22,0.55,Clarks_Beach,22,1795,2018,6,1,False,440788
CE-0119,OH_Line,1995,31,0.775,Waiuku,11,1193,2019,2,0,False,150903
CE-0120,OH_Line,1988,38,0.95,Pukekohe,22,1749,2024,2,1,False,130563
CE-0121,OH_Line,1995,31,0.775,Waiuku,11,1519,2023,6,2,False,491791
CE-0122,OH_Line,2006,20,0.5,Pukekohe,11,1045,2021,10,0,True,206940
CE-0123,OH_Line,2007,19,0.475,Waiuku,11,1923,2020,7,1,False,93328
CE-0124,OH_Line,1994,32,0.8,Tuakau,11,1038,2018,4,2,False,372149
CE-0125,OH_Line,2008,18,0.45,Tuakau,22,1808,2023,10,0,False,433458
CE-0126,OH_Line,2002,24,0.6,Waiuku,11,1958,2025,1,1,False,191686
CE-0127,OH_Line,2004,22,0.55,Waiuku,11,1221,2022,7,0,False,292589
CE-0128,OH_Line,2013,13,0.325,Clarks_Beach,11,401,2020,6,0,False,191716
CE-0129,OH_Line,2005,21,0.525,Pukekohe,11,1910,2023,4,1,True,125580
CE-0130,OH_Line,2004,22,0.55,Clarks_Beach,11,412,2025,6,0,False,96954
CE-0131,OH_Line,1999,27,0.675,Waiuku,11,968,2018,5,0,False,479869
CE-0132,OH_Line,1987,39,0.975,Pukekohe,11,596,2020,9,0,False,383577
CE-0133,OH_Line,2007,19,0.475,Clarks_Beach,11,284,2025,2,2,False,155710
CE-0134,OH_Line,1985,41,1.025,Clarks_Beach,11,1089,2022,9,0,False,86829
CE-0135,OH_Line,2002,24,0.6,Clarks_Beach,22,748,2024,2,2,False,205403
CE-0136,OH_Line,2003,23,0.575,Waiuku,11,1793,2023,1,1,False,54695
CE-0137,OH_Line,1995,31,0.775,Pukekohe,11,905,2019,7,0,False,126403
CE-0138,OH_Line,2015,11,0.275,Clarks_Beach,22,1066,2023,6,0,False,127961
CE-0139,OH_Line,2002,24,0.6,Clarks_Beach,11,1064,2021,1,3,False,270601
CE-0140,OH_Line,2005,21,0.525,Pukekohe,11,1113,2025,4,3,False,107820
CE-0141,OH_Line,2013,13,0.325,Pukekohe,22,1220,2018,4,1,False,235181
CE-0142,OH_Line,2001,25,0.625,Pukekohe,22,314,2024,7,3,False,460729
CE-0143,OH_Line,1998,28,0.7,Waiuku,22,1249,2018,10,0,False,376665
CE-0144,OH_Line,2019,7,0.175,Clarks_Beach,22,14,2022,3,1,False,496717
CE-0145,OH_Line,1998,28,0.7,Tuakau,11,313,2024,4,0,False,317979
CE-0146,OH_Line,2010,16,0.4,Waiuku,11,1323,2023,7,1,False,301849
CE-0147,OH_Line,2009,17,0.425,Waiuku,11,1359,2025,6,0,True,423773
CE-0148,OH_Line,1992,34,0.85,Clarks_Beach,11,1895,2023,3,4,False,186336
CE-0149,OH_Line,2004,22,0.55,Tuakau,22,1022,2023,9,0,False,454007
CE-0150,OH_Line,2004,22,0.55,Waiuku,11,260,2024,5,1,False,50403
CE-0151,OH_Line,2001,25,0.625,Pokeno,22,659,2024,8,0,False,102915
CE-0152,OH_Line,1990,36,0.9,Waiuku,22,557,2024,8,1,False,73633
CE-0153,OH_Line,2008,18,0.45,Clarks_Beach,22,1088,2022,10,0,False,352188
CE-0154,OH_Line,1985,41,1.025,Waiuku,22,1952,2022,8,1,False,202839
CE-0155,OH_Line,2009,17,0.425,Tuakau,11,1872,2024,6,2,False,427722
CE-0156,OH_Line,2013,13,0.325,Tuakau,22,674,2024,8,0,False,125881
CE-0157,OH_Line,2009,17,0.425,Clarks_Beach,22,918,2023,4,4,False,123912
CE-0158,OH_Line,2008,18,0.45,Waiuku,11,445,2023,4,1,False,408947
CE-0159,OH_Line,1999,27,0.675,Pukekohe,11,1679,2019,4,1,False,73472
CE-0160,OH_Line,1994,32,0.8,Waiuku,22,316,2018,2,1,False,214286
CE-0161,OH_Line,1999,27,0.675,Clarks_Beach,22,284,2022,3,0,False,396415
CE-0162,OH_Line,2005,21,0.525,Pokeno,22,1666,2022,3,0,False,92296
CE-0163,OH_Line,1999,27,0.675,Tuakau,11,199,2023,3,4,False,365282
CE-0164,OH_Line,2016,10,0.25,Tuakau,11,1347,2024,3,1,False,179902
CE-0165,OH_Line,1992,34,0.85,Clarks_Beach,11,649,2019,10,0,False,375666
CE-0166,OH_Line,1994,32,0.8,Clarks_Beach,22,1759,2025,3,0,False,52567
CE-0167,OH_Line,2008,18,0.45,Pukekohe,11,11,2018,3,0,False,220976
CE-0168,OH_Line,2003,23,0.575,Pokeno,11,302,2018,4,1,False,431096
CE-0169,OH_Line,2002,24,0.6,Clarks_Beach,11,795,2022,5,0,False,370209
CE-0170,OH_Line,2005,21,0.525,Tuakau,11,446,2023,3,2,False,108147
CE-0171,OH_Line,2011,15,0.375,Pukekohe,11,358,2018,8,0,False,412438
CE-0172,OH_Line,2013,13,0.325,Pukekohe,11,902,2025,9,0,False,199494
CE-0173,OH_Line,2018,8,0.2,Clarks_Beach,22,449,2021,10,0,False,329756
CE-0174,OH_Line,1991,35,0.875,Tuakau,22,108,2025,1,3,False,302771
CE-0175,OH_Line,2003,23,0.575,Tuakau,22,548,2019,3,3,False,263349
CE-0176,OH_Line,2012,14,0.35,Pokeno,11,12,2018,7,0,False,110077
CE-0177,OH_Line,2008,18,0.45,Pukekohe,22,957,2024,8,1,True,468093
CE-0178,OH_Line,2022,4,0.1,Tuakau,11,1362,2018,5,0,True,110975
CE-0179,OH_Line,1993,33,0.825,Tuakau,11,278,2023,2,0,False,430839
CE-0180,OH_Line,1998,28,0.7,Pukekohe,22,1224,2021,3,1,False,106668
CE-0181,OH_Line,1998,28,0.7,Pukekohe,11,239,2021,7,0,True,311686
CE-0182,OH_Line,2016,10,0.25,Pokeno,22,1056,2019,10,0,True,498355
CE-0183,OH_Line,2009,17,0.425,Waiuku,22,1957,2020,1,3,False,251826
CE-0184,OH_Line,1985,41,1.025,Waiuku,22,1173,2021,10,0,False,68386
CE-0185,OH_Line,2010,16,0.4,Pukekohe,11,1182,2022,10,0,False,182543
CE-0186,OH_Line,2014,12,0.3,Pokeno,22,665,2020,9,2,False,228268
CE-0187,OH_Line,1997,29,0.725,Pokeno,22,698,2018,3,1,True,192403
CE-0188,OH_Line,2000,26,0.65,Pokeno,22,436,2024,6,0,False,283522
CE-0189,OH_Line,2003,23,0.575,Clarks_Beach,22,114,2023,6,2,False,473032
CE-0190,OH_Line,2008,18,0.45,Tuakau,22,86,2025,10,0,False,341807
CE-0191,OH_Line,2003,23,0.575,Pokeno,11,20,2022,4,2,False,394391
CE-0192,OH_Line,2004,22,0.55,Waiuku,11,547,2023,10,0,False,84491
CE-0193,OH_Line,1985,41,1.025,Tuakau,22,1192,2025,3,3,False,439682
CE-0194,OH_Line,1985,41,1.025,Clarks_Beach,22,1218,2025,4,2,False,215364
CE-0195,OH_Line,2001,25,0.625,Pukekohe,22,614,2023,2,2,True,437795
CE-0196,OH_Line,2008,18,0.45,Tuakau,22,1339,2018,6,1,False,191483
CE-0197,OH_Line,2007,19,0.475,Tuakau,11,287,2022,6,1,False,98294
CE-0198,OH_Line,1995,31,0.775,Clarks_Beach,11,1619,2021,6,0,True,487336
CE-0199,OH_Line,2010,16,0.4,Clarks_Beach,11,863,2019,10,0,True,218382
CE-0200,OH_Line,2000,26,0.65,Clarks_Beach,11,1414,2022,4,1,False,154373
CE-0201,UG_Cable,2002,24,0.48,Clarks_Beach,11,129,2018,4,1,False,418180
CE-0202,UG_Cable,2001,25,0.5,Clarks_Beach,33,135,2019,1,2,False,484532
CE-0203,UG_Cable,2001,25,0.5,Waiuku,33,1735,2019,6,1,False,355382
CE-0204,UG_Cable,2012,14,0.28,Clarks_Beach,33,1593,2020,7,1,False,275109
CE-0205,UG_Cable,2007,19,0.38,Clarks_Beach,33,778,2020,3,2,False,183991
CE-0206,UG_Cable,2016,10,0.2,Pukekohe,11,1862,2024,8,1,True,308049
CE-0207,UG_Cable,2009,17,0.34,Waiuku,22,1036,2023,9,1,False,468407
CE-0208,UG_Cable,2015,11,0.22,Pukekohe,33,136,2019,6,0,False,101586
CE-0209,UG_Cable,2007,19,0.38,Tuakau,22,1603,2024,3,1,False,310805
CE-0210,UG_Cable,2016,10,0.2,Waiuku,22,459,2021,2,0,False,221731
CE-0211,UG_Cable,2005,21,0.42,Pokeno,22,648,2019,4,1,False,328329
CE-0212,UG_Cable,2012,14,0.28,Waiuku,33,346,2023,9,0,False,468651
CE-0213,UG_Cable,1997,29,0.58,Tuakau,33,878,2020,6,1,False,497433
CE-0214,UG_Cable,2015,11,0.22,Tuakau,33,1189,2019,10,0,False,117844
CE-0215,UG_Cable,2007,19,0.38,Clarks_Beach,22,1794,2020,6,0,True,240402
CE-0216,UG_Cable,2009,17,0.34,Pokeno,22,1279,2019,8,1,False,428833
CE-0217,UG_Cable,2021,5,0.1,Pokeno,22,855,2023,5,2,False,407000
CE-0218,UG_Cable,1993,33,0.66,Tuakau,22,1492,2020,5,0,False,69921
CE-0219,UG_Cable,2004,22,0.44,Pokeno,22,230,2018,2,1,False,478243
CE-0220,UG_Cable,2020,6,0.12,Waiuku,33,358,2024,4,3,False,182052
CE-0221,UG_Cable,2007,19,0.38,Waiuku,22,263,2023,4,0,False,277368
CE-0222,UG_Cable,2001,25,0.5,Tuakau,22,1642,2020,5,3,False,124172
CE-0223,UG_Cable,2007,19,0.38,Tuakau,33,1506,2019,3,1,False,160354
CE-0224,UG_Cable,2005,21,0.42,Tuakau,33,479,2022,1,1,False,382761
CE-0225,UG_Cable,2016,10,0.2,Pokeno,22,1780,2024,7,2,False,454761
CE-0226,UG_Cable,2014,12,0.24,Pukekohe,22,959,2021,8,0,False,249685
CE-0227,UG_Cable,2007,19,0.38,Tuakau,33,458,2019,8,1,False,397537
CE-0228,UG_Cable,1996,30,0.6,Clarks_Beach,11,809,2023,7,1,False,137702
CE-0229,UG_Cable,2002,24,0.48,Waiuku,11,347,2019,5,1,True,101616
CE-0230,UG_Cable,1999,27,0.54,Tuakau,33,391,2023,8,1,False,91853
CE-0231,UG_Cable,2003,23,0.46,Clarks_Beach,11,1358,2025,10,0,False,408164
CE-0232,UG_Cable,1999,27,0.54,Clarks_Beach,11,865,2025,4,0,False,219095
CE-0233,UG_Cable,2003,23,0.46,Pokeno,33,1671,2024,7,0,True,110472
CE-0234,UG_Cable,2014,12,0.24,Clarks_Beach,11,423,2025,4,0,False,261862
CE-0235,UG_Cable,1998,28,0.56,Waiuku,11,399,2022,2,2,False,207974
CE-0236,UG_Cable,1992,34,0.68,Pokeno,22,812,2019,6,2,False,462056
CE-0237,UG_Cable,1995,31,0.62,Pokeno,22,941,2019,1,0,False,104278
CE-0238,UG_Cable,2017,9,0.18,Waiuku,22,555,2018,3,3,True,131090
CE-0239,UG_Cable,1998,28,0.56,Tuakau,22,1694,2023,6,0,True,202601
CE-0240,UG_Cable,2010,16,0.32,Pokeno,22,1835,2022,8,1,False,426243
CE-0241,UG_Cable,2019,7,0.14,Pukekohe,11,1241,2022,6,1,True,381183
CE-0242,UG_Cable,2007,19,0.38,Clarks_Beach,33,1492,2018,2,3,False,411150
CE-0243,UG_Cable,2000,26,0.52,Pukekohe,11,1010,2023,5,0,False,255112
CE-0244,UG_Cable,2003,23,0.46,Pokeno,33,1475,2020,9,1,False,340596
CE-0245,UG_Cable,1990,36,0.72,Pokeno,22,1280,2023,4,4,False,239596
CE-0246,UG_Cable,1998,28,0.56,Tuakau,22,1577,2022,6,1,False,194477
CE-0247,UG_Cable,2006,20,0.4,Waiuku,11,1216,2020,8,1,False,330947
CE-0248,UG_Cable,2002,24,0.48,Waiuku,22,996,2021,5,1,False,32328
CE-0249,UG_Cable,2000,26,0.52,Pukekohe,22,1890,2024,8,0,False,30185
CE-0250,UG_Cable,2003,23,0.46,Clarks_Beach,22,1067,2021,6,2,False,390738
CE-0251,UG_Cable,1989,37,0.74,Pukekohe,33,1067,2018,5,3,False,240686
CE-0252,UG_Cable,2007,19,0.38,Waiuku,33,1161,2019,4,2,False,74808
CE-0253,UG_Cable,2006,20,0.4,Clarks_Beach,33,346,2020,7,0,True,109827
CE-0254,UG_Cable,1992,34,0.68,Pukekohe,11,273,2022,4,1,False,414491
CE-0255,UG_Cable,2005,21,0.42,Pokeno,33,698,2019,1,4,False,236487
CE-0256,UG_Cable,1997,29,0.58,Waiuku,33,500,2024,8,0,False,421824
CE-0257,UG_Cable,2011,15,0.3,Clarks_Beach,33,1532,2019,7,0,False,157294
CE-0258,UG_Cable,1998,28,0.56,Clarks_Beach,33,1141,2019,7,0,False,148467
CE-0259,UG_Cable,2020,6,0.12,Pokeno,11,1390,2022,5,1,False,339001
CE-0260,UG_Cable,1995,31,0.62,Tuakau,22,182,2025,8,0,False,115072
CE-0261,UG_Cable,2023,3,0.06,Waiuku,11,1523,2025,8,1,False,238915
CE-0262,UG_Cable,2015,11,0.22,Clarks_Beach,33,1062,2023,8,0,False,302988
CE-0263,UG_Cable,2012,14,0.28,Tuakau,22,941,2025,5,2,False,481288
CE-0264,UG_Cable,2007,19,0.38,Waiuku,22,11,2023,5,0,False,218813
CE-0265,UG_Cable,1988,38,0.76,Pukekohe,33,317,2018,8,0,False,470832
CE-0266,UG_Cable,2004,22,0.44,Waiuku,11,469,2019,2,2,False,453366
CE-0267,UG_Cable,2005,21,0.42,Clarks_Beach,33,580,2020,5,1,False,128964
CE-0268,UG_Cable,2000,26,0.52,Clarks_Beach,22,1281,2023,8,1,False,430685
CE-0269,UG_Cable,2015,11,0.22,Tuakau,33,885,2019,4,1,False,492882
CE-0270,UG_Cable,2002,24,0.48,Pokeno,11,648,2023,6,0,False,275905
CE-0271,UG_Cable,2005,21,0.42,Pokeno,33,1500,2024,6,0,False,170107
CE-0272,UG_Cable,2005,21,0.42,Pukekohe,11,463,2018,5,1,False,380873
CE-0273,UG_Cable,2001,25,0.5,Waiuku,11,1315,2025,10,0,True,141140
CE-0274,UG_Cable,2009,17,0.34,Tuakau,11,1699,2018,10,0,False,81921
CE-0275,UG_Cable,2010,16,0.32,Tuakau,22,1607,2023,7,0,True,447060
CE-0276,UG_Cable,2003,23,0.46,Clarks_Beach,33,413,2024,6,1,False,331693
CE-0277,UG_Cable,1994,32,0.64,Clarks_Beach,22,607,2025,10,0,False,241230
CE-0278,UG_Cable,1990,36,0.72,Pukekohe,22,1425,2020,8,0,False,14126
CE-0279,UG_Cable,2007,19,0.38,Pokeno,33,955,2022,3,3,False,303685
CE-0280,UG_Cable,2002,24,0.48,Waiuku,11,833,2018,9,0,False,92450
CE-0281,UG_Cable,2000,26,0.52,Waiuku,11,1850,2022,5,1,True,476204
CE-0282,UG_Cable,2006,20,0.4,Clarks_Beach,33,165,2018,8,2,False,425645
CE-0283,UG_Cable,1985,41,0.82,Tuakau,22,1482,2023,5,1,False,42133
CE-0284,UG_Cable,1987,39,0.78,Tuakau,33,1939,2019,6,1,False,367896
CE-0285,UG_Cable,2011,15,0.3,Waiuku,11,438,2025,4,2,False,430482
CE-0286,UG_Cable,1994,32,0.64,Waiuku,22,1854,2018,8,0,False,132657
CE-0287,UG_Cable,1985,41,0.82,Pukekohe,33,1351,2024,6,0,True,173169
CE-0288,UG_Cable,2023,3,0.06,Pokeno,22,676,2018,8,0,False,423621
CE-0289,UG_Cable,1995,31,0.62,Tuakau,22,1771,2023,1,2,True,247186
CE-0290,UG_Cable,2002,24,0.48,Pokeno,22,580,2021,2,0,False,74194
CE-0291,UG_Cable,2012,14,0.28,Tuakau,22,73,2023,6,0,False,309121
CE-0292,UG_Cable,2011,15,0.3,Pukekohe,22,504,2020,8,0,False,230990
CE-0293,UG_Cable,1999,27,0.54,Waiuku,22,1035,2024,1,2,False,175691
CE-0294,UG_Cable,1992,34,0.68,Pokeno,33,1206,2019,1,1,False,383102
CE-0295,UG_Cable,2007,19,0.38,Pokeno,22,895,2025,6,2,True,275758
CE-0296,UG_Cable,1992,34,0.68,Clarks_Beach,11,910,2018,1,0,False,422114
CE-0297,UG_Cable,1993,33,0.66,Clarks_Beach,11,112,2023,2,1,False,472981
CE-0298,UG_Cable,2004,22,0.44,Pukekohe,33,1942,2025,1,2,False,133123
CE-0299,UG_Cable,1992,34,0.68,Tuakau,11,1066,2025,2,2,False,488380
CE-0300,UG_Cable,2010,16,0.32,Pukekohe,33,1363,2021,2,1,False,94754
CE-0301,Transformer,2007,19,0.543,Waiuku,11,1436,2021,6,0,False,235922
CE-0302,Transformer,1996,30,0.857,Tuakau,33,87,2022,1,2,True,249827
CE-0303,Transformer,2023,3,0.086,Pokeno,11,1615,2025,7,0,False,468769
CE-0304,Transformer,1999,27,0.771,Pokeno,22,334,2018,5,1,False,261987
CE-0305,Transformer,2003,23,0.657,Pokeno,11,1856,2022,5,0,True,135964
CE-0306,Transformer,1992,34,0.971,Waiuku,33,75,2020,8,0,False,143280
CE-0307,Transformer,2004,22,0.629,Waiuku,22,662,2020,5,0,True,49416
CE-0308,Transformer,1994,32,0.914,Pokeno,11,1550,2018,3,4,False,383554
CE-0309,Transformer,2006,20,0.571,Tuakau,11,1859,2021,2,2,False,51699
CE-0310,Transformer,2007,19,0.543,Pukekohe,33,1542,2023,1,1,False,400615
