asset_id,asset_type,zone,age_years,age_ratio,pof_score,cof_score,risk_score,priority,customers,cost_nzd
CE-0023,OH_Line,Pukekohe,31,0.775,0.6275,0.758,0.4756,P2_High,1322,364862
CE-0024,OH_Line,Clarks_Beach,13,0.325,0.2625,0.5734,0.1505,P4_Low,84,279651
CE-0025,OH_Line,Clarks_Beach,29,0.725,0.5292,0.7684,0.4066,P2_High,1906,149004
CE-0026,OH_Line,Clarks_Beach,22,0.55,0.275,0.5804,0.1596,P4_Low,99,220373
CE-0027,OH_Line,Pokeno,20,0.5,0.67,0.7669,0.5138,P1_Critical,1546,332522
CE-0028,OH_Line,Pokeno,18,0.45,0.2917,0.9745,0.2843,P3_Medium,1874,124280
CE-0029,OH_Line,Pukekohe,6,0.15,0.1083,0.7545,0.0817,P4_Low,1202,437908
CE-0030,OH_Line,Pokeno,30,0.75,0.415,0.6075,0.2521,P3_Medium,296,11898
CE-0031,OH_Line,Pokeno,21,0.525,0.5625,0.7401,0.4163,P2_High,1017,348659
CE-0032,OH_Line,Clarks_Beach,29,0.725,0.3958,0.9502,0.3761,P2_High,1480,69873
CE-0033,OH_Line,Waiuku,17,0.425,0.5525,0.7624,0.4212,P2_High,1329,478033
CE-0034,OH_Line,Pukekohe,28,0.7,0.5567,0.6161,0.343,P3_Medium,220,74468
CE-0035,OH_Line,Tuakau,3,0.075,0.4642,0.6443,0.2991,P3_Medium,227,415567
CE-0036,OH_Line,Tuakau,41,1.025,0.82,0.7131,0.5847,P1_Critical,754,215811
CE-0037,OH_Line,Tuakau,37,0.925,0.7358,0.9778,0.7195,P1_Critical,1494,409201
CE-0038,OH_Line,Tuakau,32,0.8,0.5667,0.9699,0.5496,P1_Critical,1651,158615
CE-0039,OH_Line,Pukekohe,15,0.375,0.3208,0.8468,0.2717,P3_Medium,315,62167
CE-0040,OH_Line,Pukekohe,24,0.6,0.5667,0.7499,0.425,P2_High,1186,341953
CE-0041,OH_Line,Tuakau,18,0.45,0.225,0.7347,0.1653,P4_Low,1703,26520
CE-0042,OH_Line,Waiuku,3,0.075,0.3108,0.5838,0.1814,P4_Low,108,189938
CE-0043,OH_Line,Clarks_Beach,32,0.8,0.7,0.751,0.5257,P1_Critical,1850,54061
CE-0044,OH_Line,Clarks_Beach,17,0.425,0.6058,0.7393,0.4479,P2_High,1076,259540
CE-0045,OH_Line,Waiuku,41,1.025,0.6067,0.6516,0.3953,P2_High,288,241549
CE-0046,OH_Line,Waiuku,6,0.15,0.315,0.7212,0.2272,P3_Medium,765,344442
CE-0047,OH_Line,Clarks_Beach,10,0.25,0.225,0.7081,0.1593,P4_Low,663,270040
CE-0048,OH_Line,Clarks_Beach,18,0.45,0.5383,0.7461,0.4016,P2_High,1472,105190
CE-0049,OH_Line,Pokeno,23,0.575,0.2875,0.7329,0.2107,P3_Medium,1454,46824
CE-0050,OH_Line,Clarks_Beach,22,0.55,0.275,0.7522,0.2069,P3_Medium,1191,392398
CE-0051,OH_Line,Waiuku,31,0.775,0.7275,0.7322,0.5327,P1_Critical,1236,89789
CE-0052,OH_Line,Tuakau,16,0.4,0.4067,0.7647,0.311,P3_Medium,1600,248615
CE-0053,OH_Line,Pukekohe,27,0.675,0.3708,0.6271,0.2325,P3_Medium,184,330642
CE-0054,OH_Line,Pokeno,27,0.675,0.6508,0.6898,0.4489,P2_High,548,185275
CE-0055,OH_Line,Pukekohe,23,0.575,0.3275,0.7227,0.2367,P3_Medium,772,366194
CE-0056,OH_Line,Pokeno,29,0.725,0.6025,0.7841,0.4724,P2_High,1973,360291
CE-0057,OH_Line,Clarks_Beach,17,0.425,0.4858,0.9596,0.4662,P2_High,1180,344617
CE-0058,OH_Line,Clarks_Beach,10,0.25,0.1917,0.7269,0.1393,P4_Low,922,223945
CE-0059,OH_Line,Pokeno,17,0.425,0.2792,0.7879,0.22,P3_Medium,1994,440204
CE-0060,OH_Line,Pukekohe,17,0.425,0.6325,0.7333,0.4638,P2_High,1795,19354
CE-0061,OH_Line,Pokeno,23,0.575,0.3208,0.9875,0.3168,P3_Medium,1822,329853
CE-0062,OH_Line,Pukekohe,23,0.575,0.6342,0.738,0.468,P2_High,1700,33329
CE-0063,OH_Line,Pokeno,24,0.6,0.6467,0.6554,0.4238,P2_High,411,66837
CE-0064,OH_Line,Pokeno,9,0.225,0.2858,0.7454,0.213,P3_Medium,1471,100555
CE-0065,OH_Line,Clarks_Beach,14,0.35,0.3483,0.7133,0.2484,P3_Medium,1236,25963
CE-0066,OH_Line,Pukekohe,38,0.95,0.6417,0.6797,0.4362,P2_High,375,490113
CE-0067,OH_Line,Pokeno,18,0.45,0.4983,0.7684,0.3829,P2_High,1892,154164
CE-0068,OH_Line,Pokeno,12,0.3,0.4233,0.7322,0.3099,P3_Medium,1021,204997
CE-0069,OH_Line,Pukekohe,3,0.075,0.0375,0.6999,0.0262,P4_Low,616,216812
CE-0070,OH_Line,Tuakau,22,0.55,0.275,0.683,0.1878,P4_Low,443,296211
CE-0071,OH_Line,Tuakau,26,0.65,0.5983,0.745,0.4457,P2_High,1149,285057
CE-0072,OH_Line,Pokeno,24,0.6,0.4333,0.7653,0.3316,P3_Medium,1576,276826
CE-0073,OH_Line,Waiuku,21,0.525,0.4358,0.7808,0.3403,P3_Medium,1773,460923
CE-0074,OH_Line,Pokeno,23,0.575,0.5608,0.9222,0.5172,P1_Critical,993,62349
CE-0075,OH_Line,Pukekohe,12,0.3,0.1833,0.6925,0.1269,P4_Low,674,90632
CE-0076,OH_Line,Pukekohe,38,0.95,0.515,0.6978,0.3594,P2_High,750,81038
CE-0077,OH_Line,Waiuku,35,0.875,0.6908,0.7603,0.5252,P1_Critical,1378,354176
CE-0078,OH_Line,Pukekohe,21,0.525,0.4625,0.7211,0.3335,P3_Medium,1054,86056
CE-0079,OH_Line,Clarks_Beach,13,0.325,0.1625,0.9884,0.1606,P4_Low,1679,495209
CE-0080,OH_Line,Waiuku,9,0.225,0.1458,0.7591,0.1107,P4_Low,1513,219720
CE-0081,OH_Line,Pukekohe,25,0.625,0.5525,0.6769,0.374,P2_High,473,149569
CE-0082,OH_Line,Tuakau,11,0.275,0.2042,0.6956,0.142,P4_Low,494,422576
CE-0083,OH_Line,Pokeno,23,0.575,0.4942,0.7153,0.3535,P2_High,739,272066
CE-0084,OH_Line,Tuakau,18,0.45,0.505,0.7758,0.3918,P2_High,1820,295626
CE-0085,OH_Line,Tuakau,33,0.825,0.5858,0.7287,0.4269,P2_High,803,459082
CE-0086,OH_Line,Waiuku,28,0.7,0.65,0.5582,0.3628,P2_High,59,464092
CE-0087,OH_Line,Tuakau,20,0.5,0.5167,0.7014,0.3624,P2_High,563,353001
CE-0088,OH_Line,Pokeno,35,0.875,0.4708,0.7706,0.3628,P2_High,1525,452147
CE-0089,OH_Line,Pokeno,32,0.8,0.54,0.7573,0.4089,P2_High,1467,222843
CE-0090,OH_Line,Clarks_Beach,19,0.475,0.4442,0.7654,0.34,P3_Medium,1470,376241
CE-0091,OH_Line,Pukekohe,36,0.9,0.8033,0.7752,0.6227,P1_Critical,1956,208730
CE-0092,OH_Line,Tuakau,10,0.25,0.4783,0.8923,0.4268,P2_High,751,29105
CE-0093,OH_Line,Pokeno,19,0.475,0.3842,0.7322,0.2813,P3_Medium,1603,29237
CE-0094,OH_Line,Clarks_Beach,8,0.2,0.3333,0.9508,0.3169,P3_Medium,1034,340257
CE-0095,OH_Line,Clarks_Beach,26,0.65,0.465,0.7638,0.3552,P2_High,1707,177275
CE-0096,OH_Line,Tuakau,25,0.625,0.3792,0.7041,0.267,P3_Medium,556,443845
CE-0097,OH_Line,Waiuku,16,0.4,0.42,0.7021,0.2949,P3_Medium,821,72726
CE-0098,OH_Line,Waiuku,37,0.925,0.8425,0.6852,0.5773,P1_Critical,737,38247
CE-0099,OH_Line,Tuakau,19,0.475,0.4775,0.7328,0.3499,P3_Medium,846,479808
CE-0100,OH_Line,Waiuku,30,0.75,0.415,0.7154,0.2969,P3_Medium,657,454987
CE-0101,OH_Line,Tuakau,41,1.025,0.7733,0.6807,0.5264,P1_Critical,490,164633
CE-0102,OH_Line,Tuakau,3,0.075,0.4575,0.7837,0.3585,P2_High,1989,338925
CE-0103,OH_Line,Pokeno,26,0.65,0.5583,0.7188,0.4013,P2_High,1128,55437
CE-0104,OH_Line,Tuakau,25,0.625,0.3792,0.7892,0.2993,P3_Medium,81,480088
CE-0105,OH_Line,Waiuku,29,0.725,0.6625,0.7287,0.4828,P2_High,915,260463
CE-0106,OH_Line,Pukekohe,24,0.6,0.3333,0.6053,0.2017,P3_Medium,130,350603
CE-0107,OH_Line,Waiuku,16,0.4,0.4067,0.8566,0.3484,P3_Medium,233,432068
CE-0108,OH_Line,Tuakau,23,0.575,0.5608,0.7712,0.4325,P2_High,1563,421395
CE-0109,OH_Line,Waiuku,11,0.275,0.2708,0.7431,0.2012,P3_Medium,1369,117985
CE-0110,OH_Line,Pukekohe,15,0.375,0.3942,0.8336,0.3286,P3_Medium,309,28450
CE-0111,OH_Line,Pukekohe,19,0.475,0.5375,0.5398,0.2901,P3_Medium,72,59761
CE-0112,OH_Line,Tuakau,12,0.3,0.53,0.7724,0.4094,P2_High,1708,311463
CE-0113,OH_Line,Clarks_Beach,25,0.625,0.3125,0.7726,0.2414,P3_Medium,1838,229956
CE-0114,OH_Line,Waiuku,5,0.125,0.4425,0.7339,0.3248,P3_Medium,1205,112096
CE-0115,OH_Line,Pukekohe,15,0.375,0.2208,0.6669,0.1473,P4_Low,699,14421
CE-0116,OH_Line,Pokeno,33,0.825,0.4858,0.9845,0.4783,P2_High,1781,298946
CE-0117,OH_Line,Pokeno,20,0.5,0.35,0.9556,0.3345,P3_Medium,1019,495928
CE-0118,OH_Line,Clarks_Beach,22,0.55,0.4483,0.781,0.3501,P2_High,1795,440788
CE-0119,OH_Line,Waiuku,31,0.775,0.6542,0.7378,0.4827,P2_High,1193,150903
CE-0120,OH_Line,Pukekohe,38,0.95,0.7817,0.7607,0.5946,P1_Critical,1749,130563
CE-0121,OH_Line,Waiuku,31,0.775,0.6008,0.7717,0.4636,P2_High,1519,491791
CE-0122,OH_Line,Pukekohe,20,0.5,0.25,0.9439,0.236,P3_Medium,1045,206940
CE-0123,OH_Line,Waiuku,19,0.475,0.3775,0.7618,0.2876,P3_Medium,1923,93328
CE-0124,OH_Line,Tuakau,32,0.8,0.68,0.7424,0.5048,P1_Critical,1038,372149
CE-0125,OH_Line,Tuakau,18,0.45,0.225,0.7812,0.1758,P4_Low,1808,433458
CE-0126,OH_Line,Waiuku,24,0.6,0.64,0.774,0.4954,P2_High,1958,191686
CE-0127,OH_Line,Waiuku,22,0.55,0.375,0.7494,0.281,P3_Medium,1221,292589
CE-0128,OH_Line,Clarks_Beach,13,0.325,0.2958,0.6698,0.1981,P4_Low,401,191716
CE-0129,OH_Line,Pukekohe,21,0.525,0.5025,0.9759,0.4904,P2_High,1910,125580
CE-0130,OH_Line,Clarks_Beach,22,0.55,0.4083,0.6612,0.27,P3_Medium,412,96954
CE-0131,OH_Line,Waiuku,27,0.675,0.5042,0.7417,0.374,P2_High,968,479869
CE-0132,OH_Line,Pukekohe,39,0.975,0.5208,0.7064,0.3679,P2_High,596,383577
CE-0133,OH_Line,Clarks_Beach,19,0.475,0.5842,0.644,0.3762,P2_High,284,155710
CE-0134,OH_Line,Clarks_Beach,41,1.025,0.5333,0.7234,0.3858,P2_High,1089,86829
CE-0135,OH_Line,Clarks_Beach,24,0.6,0.6467,0.7118,0.4603,P2_High,748,205403
CE-0136,OH_Line,Waiuku,23,0.575,0.6275,0.7491,0.4701,P2_High,1793,54695
CE-0137,OH_Line,Pukekohe,31,0.775,0.4875,0.7169,0.3495,P3_Medium,905,126403
CE-0138,OH_Line,Clarks_Beach,11,0.275,0.2708,0.7279,0.1971,P4_Low,1066,127961
CE-0139,OH_Line,Clarks_Beach,24,0.6,0.72,0.7392,0.5322,P1_Critical,1064,270601
CE-0140,OH_Line,Pukekohe,21,0.525,0.5825,0.7281,0.4241,P2_High,1113,107820
CE-0141,OH_Line,Pukekohe,13,0.325,0.4025,0.746,0.3003,P3_Medium,1220,235181
CE-0142,OH_Line,Pukekohe,25,0.625,0.5325,0.6671,0.3552,P2_High,314,460729
CE-0143,OH_Line,Waiuku,28,0.7,0.35,0.7547,0.2641,P3_Medium,1249,376665
CE-0144,OH_Line,Clarks_Beach,7,0.175,0.3608,0.468,0.1689,P4_Low,14,496717
CE-0145,OH_Line,Tuakau,28,0.7,0.55,0.6613,0.3637,P2_High,313,317979
CE-0146,OH_Line,Waiuku,16,0.4,0.34,0.7551,0.2567,P3_Medium,1323,301849
CE-0147,OH_Line,Waiuku,17,0.425,0.3458,0.9721,0.3362,P3_Medium,1359,423773
CE-0148,OH_Line,Clarks_Beach,34,0.85,0.8183,0.7714,0.6312,P1_Critical,1895,186336
CE-0149,OH_Line,Tuakau,22,0.55,0.3083,0.7444,0.2295,P3_Medium,1022,454007
CE-0150,OH_Line,Waiuku,22,0.55,0.4817,0.621,0.2991,P3_Medium,260,50403
CE-0151,OH_Line,Pokeno,25,0.625,0.3792,0.693,0.2628,P3_Medium,659,102915
CE-0152,OH_Line,Waiuku,36,0.9,0.5567,0.6768,0.3768,P2_High,557,73633
CE-0153,OH_Line,Clarks_Beach,18,0.45,0.225,0.7446,0.1675,P4_Low,1088,352188
CE-0154,OH_Line,Waiuku,41,1.025,0.6067,0.7747,0.47,P2_High,1952,202839
CE-0155,OH_Line,Tuakau,17,0.425,0.4258,0.7833,0.3335,P3_Medium,1872,427722
CE-0156,OH_Line,Tuakau,13,0.325,0.2292,0.6975,0.1599,P4_Low,674,125881
CE-0157,OH_Line,Clarks_Beach,17,0.425,0.5725,0.7176,0.4108,P2_High,918,123912
CE-0158,OH_Line,Waiuku,18,0.45,0.465,0.6882,0.32,P3_Medium,445,408947
CE-0159,OH_Line,Pukekohe,27,0.675,0.5775,0.7493,0.4327,P2_High,1679,73472
CE-0160,OH_Line,Waiuku,32,0.8,0.7067,0.6559,0.4635,P2_High,316,214286
CE-0161,OH_Line,Clarks_Beach,27,0.675,0.5708,0.6583,0.3758,P2_High,284,396415
CE-0162,OH_Line,Pokeno,21,0.525,0.4958,0.7522,0.3729,P2_High,1666,92296
CE-0163,OH_Line,Tuakau,27,0.675,0.7308,0.6337,0.4631,P2_High,199,365282
CE-0164,OH_Line,Tuakau,10,0.25,0.3983,0.7484,0.2981,P3_Medium,1347,179902
CE-0165,OH_Line,Clarks_Beach,34,0.85,0.425,0.7117,0.3025,P3_Medium,649,375666
CE-0166,OH_Line,Clarks_Beach,32,0.8,0.6333,0.7472,0.4732,P2_High,1759,52567
CE-0167,OH_Line,Pukekohe,18,0.45,0.4583,0.441,0.2021,P3_Medium,11,220976
CE-0168,OH_Line,Pokeno,23,0.575,0.5275,0.6636,0.35,P2_High,302,431096
CE-0169,OH_Line,Clarks_Beach,24,0.6,0.4667,0.7248,0.3383,P3_Medium,795,370209
CE-0170,OH_Line,Tuakau,21,0.525,0.5758,0.6681,0.3847,P2_High,446,108147
CE-0171,OH_Line,Pukekohe,15,0.375,0.2542,0.6741,0.1714,P4_Low,358,412438
CE-0172,OH_Line,Pukekohe,13,0.325,0.1958,0.7237,0.1417,P4_Low,902,199494
CE-0173,OH_Line,Clarks_Beach,8,0.2,0.1,0.6855,0.0685,P4_Low,449,329756
CE-0174,OH_Line,Tuakau,35,0.875,0.8575,0.5909,0.5067,P1_Critical,108,302771
CE-0175,OH_Line,Tuakau,23,0.575,0.6408,0.6952,0.4455,P2_High,548,263349
CE-0176,OH_Line,Pokeno,14,0.35,0.275,0.4356,0.1198,P4_Low,12,110077
CE-0177,OH_Line,Pukekohe,18,0.45,0.3317,0.9505,0.3153,P3_Medium,957,468093
CE-0178,OH_Line,Tuakau,4,0.1,0.2167,0.9518,0.2063,P3_Medium,1362,110975
CE-0179,OH_Line,Tuakau,33,0.825,0.6792,0.6581,0.447,P2_High,278,430839
CE-0180,OH_Line,Pukekohe,28,0.7,0.6233,0.7342,0.4576,P2_High,1224,106668
CE-0181,OH_Line,Pukekohe,28,0.7,0.45,0.8533,0.384,P2_High,239,311686
CE-0182,OH_Line,Pokeno,10,0.25,0.125,0.958,0.1197,P4_Low,1056,498355
CE-0183,OH_Line,Waiuku,17,0.425,0.6325,0.7781,0.4921,P2_High,1957,251826
CE-0184,OH_Line,Waiuku,41,1.025,0.5,0.7246,0.3623,P2_High,1173,68386
CE-0185,OH_Line,Pukekohe,16,0.4,0.2,0.7401,0.148,P4_Low,1182,182543
CE-0186,OH_Line,Pokeno,12,0.3,0.2633,0.7057,0.1858,P4_Low,665,228268
CE-0187,OH_Line,Pokeno,29,0.725,0.6358,0.9163,0.5826,P1_Critical,698,192403
CE-0188,OH_Line,Pokeno,26,0.65,0.4583,0.6813,0.3122,P3_Medium,436,283522
CE-0189,OH_Line,Clarks_Beach,23,0.575,0.5008,0.6013,0.3011,P3_Medium,114,473032
CE-0190,OH_Line,Tuakau,18,0.45,0.225,0.578,0.13,P4_Low,86,341807
CE-0191,OH_Line,Pokeno,23,0.575,0.5675,0.4866,0.2761,P3_Medium,20,394391
CE-0192,OH_Line,Waiuku,22,0.55,0.275,0.6777,0.1864,P4_Low,547,84491
CE-0193,OH_Line,Tuakau,41,1.025,0.8533,0.754,0.6434,P1_Critical,1192,439682
CE-0194,OH_Line,Clarks_Beach,41,1.025,0.78,0.7446,0.5808,P1_Critical,1218,215364
CE-0195,OH_Line,Pukekohe,25,0.625,0.6592,0.9204,0.6067,P1_Critical,614,437795
CE-0196,OH_Line,Tuakau,18,0.45,0.3983,0.749,0.2983,P3_Medium,1339,191483
CE-0197,OH_Line,Tuakau,19,0.475,0.4108,0.6377,0.262,P3_Medium,287,98294
CE-0198,OH_Line,Clarks_Beach,31,0.775,0.5208,0.9857,0.5134,P1_Critical,1619,487336
CE-0199,OH_Line,Clarks_Beach,16,0.4,0.2,0.9321,0.1864,P4_Low,863,218382
CE-0200,OH_Line,Clarks_Beach,26,0.65,0.565,0.7493,0.4234,P2_High,1414,154373
CE-0201,UG_Cable,Clarks_Beach,24,0.48,0.48,0.6074,0.2916,P3_Medium,129,418180
CE-0202,UG_Cable,Clarks_Beach,25,0.5,0.63,0.6127,0.386,P2_High,135,484532
CE-0203,UG_Cable,Waiuku,25,0.5,0.4233,0.7755,0.3283,P3_Medium,1735,355382
CE-0204,UG_Cable,Clarks_Beach,14,0.28,0.28,0.7659,0.2145,P3_Medium,1593,275109
CE-0205,UG_Cable,Clarks_Beach,19,0.38,0.5033,0.7127,0.3587,P2_High,778,183991
CE-0206,UG_Cable,Pukekohe,10,0.2,0.2067,0.9879,0.2042,P3_Medium,1862,308049
CE-0207,UG_Cable,Waiuku,17,0.34,0.2433,0.7458,0.1815,P4_Low,1036,468407
CE-0208,UG_Cable,Pukekohe,11,0.22,0.2433,0.5893,0.1434,P4_Low,136,101586
CE-0209,UG_Cable,Tuakau,19,0.38,0.4633,0.7682,0.3559,P2_High,1603,310805
CE-0210,UG_Cable,Waiuku,10,0.2,0.3667,0.6809,0.2497,P3_Medium,459,221731
CE-0211,UG_Cable,Pokeno,21,0.42,0.45,0.7095,0.3193,P3_Medium,648,328329
CE-0212,UG_Cable,Waiuku,14,0.28,0.1733,0.6738,0.1168,P4_Low,346,468651
CE-0213,UG_Cable,Tuakau,29,0.58,0.4633,0.7358,0.3409,P3_Medium,878,497433
CE-0214,UG_Cable,Tuakau,11,0.22,0.11,0.7338,0.0807,P4_Low,1189,117844
CE-0215,UG_Cable,Clarks_Beach,19,0.38,0.3233,0.9817,0.3174,P3_Medium,1794,240402
CE-0216,UG_Cable,Pokeno,17,0.34,0.2767,0.7583,0.2098,P3_Medium,1279,428833
CE-0217,UG_Cable,Pokeno,5,0.1,0.2967,0.731,0.2169,P3_Medium,855,407000
CE-0218,UG_Cable,Tuakau,33,0.66,0.4967,0.7408,0.368,P2_High,1492,69921
CE-0219,UG_Cable,Pokeno,22,0.44,0.5267,0.6473,0.3409,P3_Medium,230,478243
CE-0220,UG_Cable,Waiuku,6,0.12,0.38,0.6616,0.2514,P3_Medium,358,182052
CE-0221,UG_Cable,Waiuku,19,0.38,0.39,0.6478,0.2526,P3_Medium,263,277368
CE-0222,UG_Cable,Tuakau,25,0.5,0.5367,0.7558,0.4056,P2_High,1642,124172
CE-0223,UG_Cable,Tuakau,19,0.38,0.4633,0.754,0.3493,P3_Medium,1506,160354
CE-0224,UG_Cable,Tuakau,21,0.42,0.55,0.692,0.3806,P2_High,479,382761
CE-0225,UG_Cable,Pokeno,10,0.2,0.28,0.7809,0.2187,P3_Medium,1780,454761
CE-0226,UG_Cable,Pukekohe,12,0.24,0.1867,0.7311,0.1365,P4_Low,959,249685
CE-0227,UG_Cable,Tuakau,19,0.38,0.2967,0.6897,0.2046,P3_Medium,458,397537
CE-0228,UG_Cable,Clarks_Beach,30,0.6,0.44,0.7109,0.3128,P3_Medium,809,137702
CE-0229,UG_Cable,Waiuku,24,0.48,0.4467,0.8607,0.3845,P2_High,347,101616
CE-0230,UG_Cable,Tuakau,27,0.54,0.3767,0.6569,0.2475,P3_Medium,391,91853
CE-0231,UG_Cable,Clarks_Beach,23,0.46,0.23,0.7615,0.1751,P4_Low,1358,408164
CE-0232,UG_Cable,Clarks_Beach,27,0.54,0.47,0.7223,0.3395,P3_Medium,865,219095
CE-0233,UG_Cable,Pokeno,23,0.46,0.33,0.9652,0.3185,P3_Medium,1671,110472
CE-0234,UG_Cable,Clarks_Beach,12,0.24,0.32,0.6781,0.217,P3_Medium,423,261862
CE-0235,UG_Cable,Waiuku,28,0.56,0.6267,0.6707,0.4203,P2_High,399,207974
CE-0236,UG_Cable,Pokeno,34,0.68,0.5533,0.7296,0.4037,P2_High,812,462056
CE-0237,UG_Cable,Pokeno,31,0.62,0.61,0.7166,0.4371,P2_High,941,104278
CE-0238,UG_Cable,Waiuku,9,0.18,0.4433,0.8954,0.3969,P2_High,555,131090
CE-0239,UG_Cable,Tuakau,28,0.56,0.4133,0.9753,0.4031,P2_High,1694,202601
CE-0240,UG_Cable,Pokeno,16,0.32,0.2667,0.7819,0.2085,P3_Medium,1835,426243
CE-0241,UG_Cable,Pukekohe,7,0.14,0.2433,0.9645,0.2347,P3_Medium,1241,381183
CE-0242,UG_Cable,Clarks_Beach,19,0.38,0.5767,0.7678,0.4428,P2_High,1492,411150
CE-0243,UG_Cable,Pukekohe,26,0.52,0.4267,0.7348,0.3135,P3_Medium,1010,255112
CE-0244,UG_Cable,Pokeno,23,0.46,0.3033,0.7641,0.2318,P3_Medium,1475,340596
CE-0245,UG_Cable,Pokeno,36,0.72,0.72,0.7495,0.5396,P1_Critical,1280,239596
CE-0246,UG_Cable,Tuakau,28,0.56,0.4533,0.76,0.3445,P3_Medium,1577,194477
CE-0247,UG_Cable,Waiuku,20,0.4,0.3067,0.751,0.2303,P3_Medium,1216,330947
CE-0248,UG_Cable,Waiuku,24,0.48,0.4467,0.7024,0.3138,P3_Medium,996,32328
CE-0249,UG_Cable,Pukekohe,26,0.52,0.3267,0.7435,0.2429,P3_Medium,1890,30185
CE-0250,UG_Cable,Clarks_Beach,23,0.46,0.4433,0.7449,0.3302,P3_Medium,1067,390738
CE-0251,UG_Cable,Pukekohe,37,0.74,0.6567,0.7376,0.4844,P2_High,1067,240686
CE-0252,UG_Cable,Waiuku,19,0.38,0.47,0.7253,0.3409,P3_Medium,1161,74808
CE-0253,UG_Cable,Clarks_Beach,20,0.4,0.3,0.8617,0.2585,P3_Medium,346,109827
CE-0254,UG_Cable,Pukekohe,34,0.68,0.58,0.6564,0.3807,P2_High,273,414491
CE-0255,UG_Cable,Pokeno,21,0.42,0.67,0.7094,0.4753,P2_High,698,236487
CE-0256,UG_Cable,Waiuku,29,0.58,0.3567,0.6963,0.2484,P3_Medium,500,421824
CE-0257,UG_Cable,Clarks_Beach,15,0.3,0.25,0.7548,0.1887,P4_Low,1532,157294
CE-0258,UG_Cable,Clarks_Beach,28,0.56,0.38,0.7346,0.2791,P3_Medium,1141,148467
CE-0259,UG_Cable,Pokeno,6,0.12,0.2667,0.7602,0.2027,P3_Medium,1390,339001
CE-0260,UG_Cable,Tuakau,31,0.62,0.3767,0.6103,0.2299,P3_Medium,182,115072
CE-0261,UG_Cable,Waiuku,3,0.06,0.1367,0.7608,0.104,P4_Low,1523,238915
CE-0262,UG_Cable,Clarks_Beach,11,0.22,0.1767,0.7408,0.1309,P4_Low,1062,302988
CE-0263,UG_Cable,Tuakau,14,0.28,0.3867,0.7399,0.2861,P3_Medium,941,481288
CE-0264,UG_Cable,Waiuku,19,0.38,0.3567,0.4409,0.1573,P4_Low,11,218813
CE-0265,UG_Cable,Pukekohe,38,0.76,0.4467,0.6681,0.2984,P3_Medium,317,470832
CE-0266,UG_Cable,Waiuku,22,0.44,0.5667,0.6932,0.3928,P2_High,469,453366
CE-0267,UG_Cable,Clarks_Beach,21,0.42,0.4167,0.688,0.2867,P3_Medium,580,128964
CE-0268,UG_Cable,Clarks_Beach,26,0.52,0.3667,0.7584,0.2781,P3_Medium,1281,430685
CE-0269,UG_Cable,Tuakau,11,0.22,0.35,0.7362,0.2577,P3_Medium,885,492882
CE-0270,UG_Cable,Pokeno,24,0.48,0.3733,0.7069,0.2639,P3_Medium,648,275905
